entity_id,time_index,humidity
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:03.883000+00:00,79
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:54:09.829000+00:00,78
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:09.832000+00:00,78
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:54:18.802000+00:00,76
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:24.806000+00:00,77
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:24.808000+00:00,77
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:30.906000+00:00,76
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:30.926000+00:00,76
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:54:31.011000+00:00,79
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:54:33.804000+00:00,77
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:33.807000+00:00,74
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:37.085000+00:00,75
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:54:39.817000+00:00,75
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:39.818000+00:00,74
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:54:45.815000+00:00,72
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:51.875000+00:00,73
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:54:54.845000+00:00,76
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:54:57.945000+00:00,74
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:54:57.958000+00:00,71
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:55:00.843000+00:00,71
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:55:03.856000+00:00,72
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:55:07.043000+00:00,70
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:55:07.097000+00:00,74
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:55:12.835000+00:00,69
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:12.836000+00:00,69
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:55:18.824000+00:00,72
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:55:24.827000+00:00,71
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:27.845000+00:00,68
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:55:33.917000+00:00,68
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:55:42.834000+00:00,69
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:55:48.844000+00:00,67
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:48.846000+00:00,66
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:55:51.881000+00:00,68
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:51.884000+00:00,65
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:55:54.875000+00:00,65
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:54.876000+00:00,64
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:55:57.846000+00:00,62
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:56:06.896000+00:00,68
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:56:06.914000+00:00,61
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:56:09.855000+00:00,60
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:56:15.850000+00:00,67
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:56:21.986000+00:00,63
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:56:24.897000+00:00,66
urn:ngsi-ld:SoilSensor:humidity003,2024-05-08T16:56:24.901000+00:00,66
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:56:27.866000+00:00,65
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:56:36.867000+00:00,62
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:56:42.861000+00:00,63
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:56:42.862000+00:00,58
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:56:51.907000+00:00,60
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:56:51.908000+00:00,61
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:56:54.885000+00:00,59
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:56:54.886000+00:00,60
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:56:54.887000+00:00,56
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:56:57.864000+00:00,55
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:57:00.865000+00:00,53
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:57:03.901000+00:00,51
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:57:09.895000+00:00,58
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:57:09.897000+00:00,59
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:57:09.900000+00:00,50
urn:ngsi-ld:SoilSensor:humidity004,2024-05-08T16:57:12.892000+00:00,47
urn:ngsi-ld:SoilSensor:humidity001,2024-05-08T16:57:18.911000+00:00,57
urn:ngsi-ld:SoilSensor:humidity002,2024-05-08T16:57:21.941000+00:00,58
