entity_id,time_index,location,status
urn:ngsi-ld:Device:tractor002,2024-05-08T16:53:52.019000+00:00,POINT (13.3698 52.5163),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:53:52.041000+00:00,POINT (13.3505 52.5144),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:53:52.086000+00:00,POINT (13.3598 52.5165),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:53:52.115000+00:00,POINT (13.3127 52.4893),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:53:54.784000+00:00,POINT (13.354 52.514),8
urn:ngsi-ld:Device:tractor002,2024-05-08T16:53:54.789000+00:00,POINT (13.37 52.52),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:53:54.791000+00:00,POINT (13.36 52.513),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:53:57.791000+00:00,POINT (13.37 52.523),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:53:57.801000+00:00,POINT (13.36 52.51),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:53:57.805000+00:00,POINT (13.306 52.489),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:00.795000+00:00,POINT (13.37 52.526),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:00.798000+00:00,POINT (13.36 52.507),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:00.802000+00:00,POINT (13.303 52.489),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:01.791000+00:00,POINT (13.36 52.507),8
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:03.802000+00:00,POINT (13.354 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:03.809000+00:00,POINT (13.37 52.529),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:03.816000+00:00,POINT (13.359 52.507),8
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:03.825000+00:00,POINT (13.3 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:06.836000+00:00,POINT (13.351 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:06.838000+00:00,POINT (13.37 52.532),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:06.854000+00:00,POINT (13.36 52.507),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:06.897000+00:00,POINT (13.297 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:09.781000+00:00,POINT (13.348 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:09.784000+00:00,POINT (13.37 52.535),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:09.786000+00:00,POINT (13.36 52.51),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:09.788000+00:00,POINT (13.294 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:12.770000+00:00,POINT (13.345 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:12.775000+00:00,POINT (13.37 52.538),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:12.778000+00:00,POINT (13.36 52.513),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:12.780000+00:00,POINT (13.291 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:15.786000+00:00,POINT (13.342 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:15.789000+00:00,POINT (13.37 52.541),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:15.793000+00:00,POINT (13.36 52.516),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:15.797000+00:00,POINT (13.288 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:18.786000+00:00,POINT (13.339 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:18.789000+00:00,POINT (13.37 52.544),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:18.791000+00:00,POINT (13.36 52.519),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:18.796000+00:00,POINT (13.285 52.489),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:21.818000+00:00,POINT (13.36 52.519),8
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:21.822000+00:00,POINT (13.37 52.547),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:21.825000+00:00,POINT (13.282 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:21.843000+00:00,POINT (13.336 52.516),7
urn:ngsi-ld:Device:tractor003,2024-05-08T16:54:24.801000+00:00,POINT (13.361 52.519),7
urn:ngsi-ld:Device:tractor004,2024-05-08T16:54:24.804000+00:00,POINT (13.279 52.489),7
urn:ngsi-ld:Device:tractor001,2024-05-08T16:54:27.839000+00:00,POINT (13.33 52.516),7
urn:ngsi-ld:Device:tractor002,2024-05-08T16:54:27.849000+00:00,POINT (13.37 52.553),7
